exemplo
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.1541 17323.88022 43518.67620 4 00000000080820', 'valor': 808.2, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24682.2967 46080.80375 76092.70976 4 00000000015915', 'valor': 159.15, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.3652 74588.96724 36320.27517 7 00000000043809', 'valor': 438.09, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 360, 'agencia': 1, 'linhaDigitavel': '36096.9308 28711.74369 04445.77466 9 00000000050740', 'valor': 507.4, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.9563 43456.53883 22710.59184 5 00000000081097', 'valor': 810.97, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '97592.5389 57166.98966 70172.35973 1 00000000029793', 'valor': 297.93, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.5300 37804.33308 97303.92549 0 00000000092198', 'valor': 921.98, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.2264 89695.05348 48630.62230 0 00000000012860', 'valor': 127.6, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24697.6022 44156.28339 92109.46047 8 00000000012248', 'valor': 122.48, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 7577, 'linhaDigitavel': '24698.9531 32793.08970 41595.03485 8 00000000002852', 'valor': 28.52, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.5012 69226.47003 00329.09266 2 00000000003854', 'valor': 38.54, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24643.4195 31833.09691 76810.53818 9 00000000032406', 'valor': 324.06, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24691.9333 05020.75387 73489.11736 8 00000000089141', 'valor': 891.41, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 543, 'agencia': 1, 'linhaDigitavel': '54391.5264 03087.31327 19360.33737 4 00000000093026', 'valor': 930.26, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.9282 02378.43123 76155.82178 2 00000000091423', 'valor': 914.23, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '80998.9625 76823.39243 11637.85237 8 00000000093670', 'valor': 936.7, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24691.1338 58320.73408 83554.85529 1 00000000036265', 'valor': 362.65, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24690.6091 61463.95242 80740.02921 4 00000000018322', 'valor': 182.22, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.3167 49092.47261 99973.02643 6 00000000099465', 'valor': 994.65, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 9233, 'linhaDigitavel': '24695.1551 27016.46620 92174.29454 4 00000000098224', 'valor': 982.24, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24696.0612 67736.64849 66276.37124 8 00000000032959', 'valor': 329.59, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24677.8128 35111.64158 95117.37070 1 00000000006839', 'valor': 68.39, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24691.4184 71964.11214 75394.45463 8 00000000047873', 'valor': 478.73, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 420, 'agencia': 1, 'linhaDigitavel': '42099.3006 04830.08303 40642.14042 2 00000000063796', 'valor': 637.96, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.0414 54759.08650 46133.68588 9 00000000039543', 'valor': 395.43, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '11999.8888 54015.06069 05576.57676 7 00000000091197', 'valor': 911.97, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24696.9372 88712.36124 97870.13779 2 00000000041295', 'valor': 412.95, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.7318 95383.14843 82616.69120 8 00000000080342', 'valor': 802.42, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24691.7002 91557.27568 65504.98434 4 00000000008658', 'valor': 86.58, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1108, 'linhaDigitavel': '24697.3858 96039.33601 78027.61442 6 00000000030512', 'valor': 305.12, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.0171 50957.93938 63162.36925 8 00000000003563', 'valor': 35.63, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24617.5520 56724.42157 88336.02214 9 00000000003795', 'valor': 37.95, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.1665 96599.63552 66542.35885 0 00000000039502', 'valor': 395.02, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 293, 'agencia': 1, 'linhaDigitavel': '29398.1963 51232.34482 63187.09146 2 00000000013436', 'valor': 134.36, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.6683 08029.09732 59452.09990 9 00000000061426', 'valor': 614.26, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '47397.1814 88528.91347 28721.62554 5 00000000044905', 'valor': 449.05, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24697.8178 38255.28002 74495.69291 0 00000000070037', 'valor': 700.37, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.8738 36091.30108 70371.02037 5 00000000082290', 'valor': 821.9, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24697.0476 17875.22387 14250.48233 1 00000000096133', 'valor': 961.33, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 7070, 'linhaDigitavel': '24696.7579 74647.16740 15753.07086 6 00000000083442', 'valor': 834.42, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.4838 21462.35737 37543.65643 5 00000000005498', 'valor': 54.98, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24677.9321 17165.64839 32791.21808 4 00000000061410', 'valor': 614.1, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.7720 82278.21188 49048.27913 9 00000000078238', 'valor': 782.38, 'label': 1}"
