exemplo,nome_banco,codigo_banco,agencia
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00192.8951 02373.87926 54221.46435 0 00000000002806', 'valor': 28.06, 'label': 1}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00122.7572 03178.36775 89800.83295 3 00000000030701', 'valor': 307.01, 'label': 0}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00194.2351 32587.89380 89152.71482 9 00000000091906', 'valor': 919.06, 'label': 1}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 616, 'agencia': 2, 'linhaDigitavel': '61694.6538 10311.06198 42798.02551 8 00000000078127', 'valor': 781.27, 'label': 0}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00197.6459 89369.02282 21485.50176 0 00000000083219', 'valor': 832.19, 'label': 1}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '55598.1156 20689.73821 19371.97569 8 00000000050130', 'valor': 501.3, 'label': 0}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00194.0396 98476.83436 95226.50122 0 00000000017795', 'valor': 177.95, 'label': 1}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00196.9667 31497.06024 55513.64031 7 00000000051232', 'valor': 511.33, 'label': 0}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00197.6114 85286.67935 27288.72096 0 00000000093856', 'valor': 938.56, 'label': 1}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 1170, 'linhaDigitavel': '00198.9155 56501.23582 48152.34974 9 00000000038850', 'valor': 388.5, 'label': 0}",BANCO DO BRASIL S.A.,1,2.0
"{'banco': 'BANCO DO BRASIL S.A.', 'codigoBanco': 1, 'agencia': 2, 'linhaDigitavel': '00191.3182 21699.80561 67051.14646 3 00000000086728', 'valor': 867.28, 'label': 1}",BANCO DO BRASIL S.A.,1,2.0
